ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usc,swap_usc,profit_usc,equity_usc,margin_level,close_reason
621878540,2025-12-09T01:13:05,2025-12-09T01:16:07,sell,0.52,XAUUSDc,4196.711,4195.674,0,0,0,0,53.92,,,user
621838467,2025-12-09T01:05:26,2025-12-09T01:07:15,buy,0.25,XAUUSDc,4194.669,4194.131,0,0,0,0,-13.45,,,user
621838606,2025-12-09T01:05:22,2025-12-09T01:07:14,sell,0.25,XAUUSDc,4194.353,4194.291,0,0,0,0,1.55,,,user
621840326,2025-12-09T01:06:07,2025-12-09T01:07:14,sell,0.32,XAUUSDc,4195.269,4194.455,0,0,0,0,26.05,,,user
621836950,2025-12-09T01:05:19,2025-12-09T01:05:20,buy,0.25,XAUUSDc,4194.522,4194.698,0,0,0,0,4.4,,,user
621835570,2025-12-09T01:05:11,2025-12-09T01:05:16,sell,0.25,XAUUSDc,4194.304,4193.665,0,0,0,0,15.97,,,user
621835028,2025-12-09T01:05:06,2025-12-09T01:05:09,buy,0.25,XAUUSDc,4194.647,4194.847,0,0,0,0,5,,,user
621785448,2025-12-09T01:01:08,2025-12-09T01:05:05,buy,0.25,XAUUSDc,4191.214,4194.2210000000005,0,0,0,0,75.18,,,user
621785482,2025-12-09T01:01:09,2025-12-09T01:05:05,sell,0.25,XAUUSDc,4190.842,4194.381,0,0,0,0,-88.48,,,user
621793814,2025-12-09T01:02:22,2025-12-09T01:05:04,sell,0.32,XAUUSDc,4193.954,4194.29,0,0,0,0,-10.75,,,user
621818362,2025-12-09T01:03:15,2025-12-09T01:05:04,sell,0.41,XAUUSDc,4195.834,4194.324,0,0,0,0,61.91,,,user
621746040,2025-12-09T00:54:58,2025-12-09T01:01:07,sell,0.25,XAUUSDc,4191.666,4190.915,0,0,0,0,18.77,,,user
621745368,2025-12-09T00:54:59,2025-12-09T01:01:07,buy,0.25,XAUUSDc,4192.055,4190.755,0,0,0,0,-32.5,,,user
621757770,2025-12-09T00:57:08,2025-12-09T01:01:07,buy,0.32,XAUUSDc,4190.849,4190.755,0,0,0,0,-3.01,,,user
621776441,2025-12-09T01:00:20,2025-12-09T01:01:06,buy,0.41,XAUUSDc,4189.722,4190.755,0,0,0,0,42.36,,,user
621743045,2025-12-09T00:54:34,2025-12-09T00:54:50,sell,0.25,XAUUSDc,4192.314,4192.121,0,0,0,0,4.82,,,user
621721034,2025-12-09T00:47:13,2025-12-09T00:54:26,sell,0.25,XAUUSDc,4192.733,4192.717,0,0,0,0,0.4,,,user
621720858,2025-12-09T00:47:14,2025-12-09T00:54:26,buy,0.25,XAUUSDc,4192.978,4192.557,0,0,0,0,-10.52,,,user
621727427,2025-12-09T00:48:25,2025-12-09T00:54:26,sell,0.32,XAUUSDc,4193.4980000000005,4192.717,0,0,0,0,25,,,user
621667536,2025-12-09T00:14:41,2025-12-09T00:47:05,sell,0.25,XAUUSDc,4193.315,4192.922,0,0,0,0,9.83,,,user
621667527,2025-12-09T00:14:44,2025-12-09T00:47:05,buy,0.25,XAUUSDc,4193.48,4192.762,0,0,0,0,-17.95,,,user
621692349,2025-12-09T00:30:05,2025-12-09T00:47:05,buy,0.32,XAUUSDc,4192.853,4192.8730000000005,0,0,0,0,0.64,,,user
621706356,2025-12-09T00:36:37,2025-12-09T00:47:05,buy,0.41,XAUUSDc,4192.229,4192.8730000000005,0,0,0,0,26.4,,,user
621667295,2025-12-09T00:14:32,2025-12-09T00:14:35,buy,0.25,XAUUSDc,4193.065,4193.386,0,0,0,0,8.02,,,user
621666972,2025-12-09T00:14:27,2025-12-09T00:14:29,sell,0.25,XAUUSDc,4193.255,4193.052,0,0,0,0,5.08,,,user
621640780,2025-12-09T00:10:38,2025-12-09T00:14:24,sell,0.25,XAUUSDc,4194.213,4193.515,0,0,0,0,17.45,,,user
621640827,2025-12-09T00:10:30,2025-12-09T00:14:23,buy,0.25,XAUUSDc,4194.427,4193.3550000000005,0,0,0,0,-26.8,,,user
621652163,2025-12-09T00:12:40,2025-12-09T00:14:23,buy,0.32,XAUUSDc,4193.101,4193.195,0,0,0,0,3.01,,,user
621663271,2025-12-09T00:14:21,2025-12-09T00:14:23,buy,0.41,XAUUSDc,4192.401,4193.1410000000005,0,0,0,0,30.34,,,user
621640370,2025-12-09T00:10:25,2025-12-09T00:10:27,sell,0.25,XAUUSDc,4194.371,4194.182,0,0,0,0,4.73,,,user
621613750,2025-12-09T00:00:01,2025-12-09T00:10:21,buy,0.25,XAUUSDc,4194.95,4194.798,0,0,0,0,-3.8,,,user
621613752,2025-12-09T00:00:03,2025-12-09T00:10:20,sell,0.25,XAUUSDc,4194.985,4194.946,0,0,0,0,0.98,,,user
621631291,2025-12-09T00:10:00,2025-12-09T00:10:19,buy,0.32,XAUUSDc,4193.795,4194.452,0,0,0,0,21.02,,,user
617994379,2025-12-08T11:34:57,2025-12-08T11:35:01,sell,0.25,XAUUSDc,4210.21,4210.028,0,0,0,0,4.55,,,user
617973825,2025-12-08T11:31:42,2025-12-08T11:34:51,buy,0.25,XAUUSDc,4210.432,4210.31,0,0,0,0,-3.05,,,user
617973772,2025-12-08T11:31:44,2025-12-08T11:34:51,sell,0.25,XAUUSDc,4210.011,4210.47,0,0,0,0,-11.47,,,user
617983691,2025-12-08T11:33:00,2025-12-08T11:34:50,sell,0.32,XAUUSDc,4211.234,4210.378,0,0,0,0,27.39,,,user
617972435,2025-12-08T11:31:24,2025-12-08T11:31:31,sell,0.25,XAUUSDc,4210.439,4209.704,0,0,0,0,18.38,,,user
617957521,2025-12-08T11:29:41,2025-12-08T11:31:21,sell,0.25,XAUUSDc,4208.845,4210.702,0,0,0,0,-46.42,,,user
617957487,2025-12-08T11:29:36,2025-12-08T11:31:21,buy,0.25,XAUUSDc,4208.907,4210.542,0,0,0,0,40.87,,,user
617957695,2025-12-08T11:29:53,2025-12-08T11:31:21,buy,0.32,XAUUSDc,4209.645,4210.542,0,0,0,0,28.7,,,user
617959160,2025-12-08T11:31:11,2025-12-08T11:31:21,buy,0.41,XAUUSDc,4210.272,4210.542,0,0,0,0,11.07,,,user
617724488,2025-12-08T10:49:27,2025-12-08T11:29:35,buy,0.25,XAUUSDc,4205.68,4208.647,0,0,0,0,74.18,,,user
617725236,2025-12-08T10:49:31,2025-12-08T11:29:35,sell,0.25,XAUUSDc,4205.541,4208.834,0,0,0,0,-82.32,,,user
617725296,2025-12-08T10:51:20,2025-12-08T11:29:35,buy,0.32,XAUUSDc,4204.592,4208.674,0,0,0,0,130.63,,,user
